Number of points,Value of pi,,Mean,Std. Dev.
588,3.09638482510034,,,
720,3.09670023337912,,,
763,3.0967337505342,,,
256,3.09687551640815,,,
431,3.09729429605878,,,
474,3.09729429605878,,,
477,3.09751868889339,,,
480,3.09774030286936,,,
569,3.0978585004967,,,
483,3.0979591892887,,,
440,3.09802433085515,,,
529,3.09810362302404,,,
486,3.09817539819833,,,
443,3.09826114303742,,,
489,3.09838897842821,,,
762,3.09869839157356,,,
719,3.0987825212635,,,
495,3.0988084423031,,,
587,3.09893548820859,,,
452,3.09895288388562,,,
498,3.09901441784764,,,
409,3.09912778951099,,,
415,3.09961784766873,,,
473,3.10046543253273,,,
568,3.10049982406517,,,
525,3.10076316772575,,,
430,3.10078364345918,,,
764,3.1007977055874,,,
767,3.10092371969757,,,
528,3.10094652647667,,,
433,3.10100718780663,,,
482,3.10107365315274,,,
531,3.1011278307878,,,
485,3.10127141813961,,,
439,3.10144518317214,,,
586,3.10149909884531,,,
246,3.10165975665929,,,
442,3.10165975665929,,,
491,3.10165975665929,,,
494,3.10185041683611,,,
766,3.10288886692545,,,
564,3.10299588708055,,,
567,3.10315501284922,,,
414,3.10325362087134,,,
518,3.10329680438447,,,
524,3.10363785599389,,,
472,3.10365657617687,,,
527,3.10380549153072,,,
533,3.10413514353611,,,
481,3.10420740162274,,,
484,3.10438649051129,,,
490,3.10473813617089,,,
765,3.10486166064059,,,
438,3.10488930659333,,,
493,3.1049107718799,,,
768,3.10497192298699,,,
441,3.10508133388671,,,
499,3.10524985933224,,,
563,3.10567875213277,,,
508,3.1057435746404,,,
566,3.10582417631108,,,
453,3.10582417631108,,,
511,3.10590430800118,,,
514,3.10606317778675,,,
517,3.10622021622033,,,
520,3.10637545478648,,,
523,3.10652892425216,,,
526,3.10668065468706,,,
471,3.10686791693267,,,
532,3.10697901537419,,,
245,3.10783528628927,,,
492,3.10798967453002,,,
434,3.10818544518581,,,
437,3.10835693938941,,,
562,3.10837584989083,,,
565,3.10850742506826,,,
507,3.1087343707501,,,
510,3.10887808405574,,,
513,3.10902012627642,,,
769,3.10902012627642,,,
772,3.1091139070476,,,
516,3.1091605263905,,,
519,3.10929931271017,,,
522,3.10943651290047,,,
534,3.10996998403148,,,
470,3.1100996471536,,,
537,3.1100996471536,,,
552,3.11072693631196,,,
561,3.11108729391357,,,
771,3.11108729391357,,,
500,3.11148530081684,,,
503,3.1116148203729,,,
506,3.11174281167461,,,
436,3.11184832309505,,,
509,3.11186930161208,,,
512,3.11199431644824,,,
515,3.11211788183702,,,
521,3.11236076394792,,,
454,3.11269546873655,,,
457,3.11283019996058,,,
536,3.11294428991073,,,
770,3.11306832956584,,,
773,3.11314648020849,,,
469,3.11335196164344,,,
785,3.11345313976445,,,
551,3.11349618845009,,,
788,3.11352835266691,,,
557,3.11370866198964,,,
560,3.11381319897109,,,
502,3.11465869514383,,,
505,3.11476905402471,,,
775,3.11519773129611,,,
435,3.115363702565,,,
784,3.11540472117859,,,
787,3.11547267041895,,,
535,3.11580482452685,,,
538,3.11590207186844,,,
456,3.11618743701835,,,
550,3.11628049087158,,,
553,3.11637253873721,,,
556,3.11646359684084,,,
559,3.11655368106101,,,
838,3.11655368106101,,,
468,3.11662505769552,,,
847,3.11673098968484,,,
774,3.11717905336938,,,
777,3.11724109295648,,,
783,3.11736375137675,,,
786,3.11742438101415,,,
789,3.11748455133612,,,
501,3.11772074230144,,,
504,3.11781325627006,,,
837,3.11838882531765,,,
843,3.11849464461336,,,
846,3.11854699338156,,,
549,3.11907996660326,,,
776,3.11922253456652,,,
555,3.11923338309286,,,
779,3.11927661061814,,,
558,3.11930885742487,,,
782,3.11933027308619,,,
455,3.11956676116202,,,
458,3.11965658197804,,,
815,3.11989456593828,,,
467,3.11991913513255,,,
836,3.12023053538559,,,
839,3.12027716216144,,,
842,3.12032345766358,,,
845,3.12036942540995,,,
848,3.12041506886887,,,
778,3.12125815622059,,,
781,3.12130432936156,,,
790,3.12144075000533,,,
793,3.12148553716007,,,
539,3.12170449658327,,,
814,3.12178982635849,,,
548,3.12189474001655,,,
554,3.12201814116245,,,
835,3.12207884656488,,,
841,3.12215877894529,,,
844,3.12219831996326,,,
850,3.12227656662558,,,
460,3.12310312664483,,,
466,3.12323439634732,,,
780,3.12328596358809,,,
792,3.123437545931,,,
813,3.12369206748007,,,
816,3.12372736024533,,,
819,3.12376239492821,,,
834,3.12393379440908,,,
840,3.12400064326187,,,
849,3.12409914805289,,,
852,3.12413152133219,,,
547,3.12472493684579,,,
791,3.12539694867453,,,
794,3.1254268067777,,,
800,3.12548585201542,,,
812,3.12560132794158,,,
818,3.12565779693844,,,
824,3.12571344456807,,,
833,3.12579541472755,,,
851,3.1259541597547,,,
854,3.12597996742579,,,
459,3.12648296399549,,,
465,3.12657104634411,,,
799,3.12743071684595,,,
540,3.12750692129811,,,
811,3.12751764666727,,,
817,3.12756015455238,,,
546,3.12757068420707,,,
820,3.12758117536211,,,
823,3.12760204301475,,,
829,3.12764332549575,,,
832,3.1276637435877,,,
853,3.12780265120449,,,
856,3.12782193910225,,,
795,3.12936807639533,,,
798,3.1293828931984,,,
801,3.12939759901418,,,
810,3.12944106286973,,,
822,3.12949753415649,,,
825,3.12951139529051,,,
828,3.12952515598154,,,
831,3.12953881731739,,,
855,3.12964465671937,,,
861,3.12967019462385,,,
461,3.12990727289025,,,
464,3.12992929278101,,,
542,3.13041617025486,,,
545,3.13043211061716,,,
797,3.1313424223808,,,
809,3.13137161605252,,,
821,3.131399955796,,,
827,3.131413817068,,,
830,3.13142067250722,,,
857,3.13148021037605,,,
860,3.13148659479363,,,
881,3.13153006756547,,,
463,3.13330934601295,,,
541,3.13330934601295,,,
544,3.13330934601295,,,
802,3.13330934601295,,,
805,3.13330934601295,,,
862,3.13330934601295,,,
880,3.13330934601295,,,
796,3.13330934601295,,,
808,3.13330934601295,,,
826,3.13330934601295,,,
859,3.13330934601295,,,
882,3.13508862446043,,,
879,3.13509470746367,,,
858,3.13513848164985,,,
807,3.13525429284474,,,
804,3.13526156367402,,,
543,3.13620252177104,,,
462,3.13671141913566,,,
878,3.13688618316593,,,
863,3.13694849740205,,,
806,3.13720649694083,,,
803,3.13722109301172,,,
883,3.13864718135539,,,
877,3.13868380458244,,,
876,3.14048760339213,,,
870,3.14053727991379,,,
867,3.1405623769065,,,
864,3.14058764879115,,,
884,3.14220573825035,,,
875,3.14229761149205,,,
872,3.1423286590412,,,
869,3.14235992182466,,,
866,3.14239140208835,,,
898,3.14382380690561,,,
889,3.14393073362655,,,
886,3.14396686079531,,,
874,3.1441138609992,,,
871,3.14415124686421,,,
868,3.14418889235327,,,
865,3.14422680018024,,,
897,3.14559683364437,,,
888,3.14572200329767,,,
885,3.14576429514531,,,
873,3.1459363842525,,,
914,3.1470972859294,,,
902,3.14728173997511,,,
899,3.14732862720317,,,
896,3.14737583017014,,,
893,3.14742335207607,,,
890,3.14747119616442,,,
887,3.14751936572276,,,
913,3.14884641715021,,,
901,3.14905461910849,,,
895,3.14916082668418,,,
892,3.14921446959677,,,
915,3.15054427090851,,,
912,3.15060134019625,,,
903,3.15077483846564,,,
